,pregunta,economia,diplomacia,estado,sociedad
0,La opresión de las corporaciones es más preocupante que la opresión de los gobiernos.,10,0,-5,0
1,Es necesario que el gobierno intervenga en la economía para proteger a los consumidores.,10,0,0,0
2,"Mientras más libre sea el mercado, más libre es la gente",-10,0,0,0
3,Es mejor mantener un presupuesto equilibrado que asegurar el bienestar de todos los ciudadanos.,-10,0,0,0
4,Investigaciones financiadas con fondos públicos es más benéfico para las personas que dejarlo al mercado/en manos del mercado.,10,0,0,10
5,Las tarifas en comercios internacionales son importantes para promover la producción local.,5,0,-10,0
6,"De cada uno de acuerdo a sus habilidades, para cada uno de acuerdo a sus necesidades.",10,0,0,0
7,Sería mejor si los programas sociales fueran eliminados en favor de la caridad privada.,-10,0,0,0
8,Los impuestos deberían aumentar para los ricos para proveer a los pobres.,10,0,0,0
9,Las herencias son una forma legítima de riqueza.,-10,0,0,-5
10,Servicios básicos como carreteras y electricidad debieran ser de dominio público.,10,0,0,0
11,La intervención del gobierno es una amenaza a la economía.,-10,0,0,0
12,Aquellos con mejor habilidad de pagar debieran recibir mejor  atención médica.,-10,0,0,0
13,La educación de calidad es un derecho para todos.,10,0,0,5
14,Los medios de producción debieran pertenecer a los trabajadores que los usan.,10,0,0,0
15,La ONU debiera abolirse.,0,-10,-5,0
16,La acción militar de nuestra nación es necesaria a menudo para protegerla.,0,-10,-10,0
17,"Apoyo a las uniones regionales, como la Unión Europea.",-5,10,10,5
18,Es importante mantener nuestra soberanía nacional.,0,-10,-5,0
19,Un gobierno mundial sería beneficioso para la humanidad.,0,10,0,0
20,Es más importante mantener relaciones pacíficas que aumentar nuestra fuerza.,0,10,0,0
21,Las guerras no necesitan justificarse a otros países.,0,-10,-10,0
22,Los gastos militares son un desperdicio económico.,0,10,10,0
23,La ayuda internacional es un desperdicio de dinero.,-5,-10,0,0
24,Mi nación es genial.,0,-10,0,0
25,Las investigaciones debieran llevarse a cabo en una escala internacional.,0,10,0,10
26,Los gobiernos debieran rendir cuentas a la comunidad internacional.,0,10,5,0
27,"Incluso protestando contra un gobierno autoritario, la violencia no es aceptable.",0,5,-5,0
28,Mis valores religiosos debieran difundirse lo máximo posible.,0,-5,-10,-10
29,Los valores de nuestra nación debieran difundirse lo máximo posible.,0,-10,-5,0
30,Es muy importante mantener la ley y el orden.,0,-5,-10,-5
31,La población general toma malas decisiones.,0,0,-10,0
32,El suicidio asistido debiera ser legal.,0,0,10,0
33,Sacrificar algunas libertades civiles es necesario para protegernos de actos de terrorismo.,0,0,-10,0
34,La supervisión gubernamental es necesaria en el mundo moderno.,0,0,-10,0
35,La existencia del estado en sí es una amenaza a nuestra libertad.,0,0,10,0
36,"Independiente de las opiniones políticas, es importante apoyar a tu país.",0,-10,-10,-5
37,Toda autoridad debería cuestionarse.,0,0,10,5
38,Un estado jerárquico es mejor.,0,0,-10,0
39,"Es importante que el gobierno siga a la mayoría, incluso si está mal.",0,0,10,0
40,"Mientras más fuerte sea el liderazgo, mejor.",0,-10,-10,0
41,La democracia es más que un proceso de toma de decisiones.,0,0,10,0
42,Las regulaciones medioambientales son esenciales.,5,0,0,10
43,"Un mundo mejor vendrá con la automatización, la ciencia y la tecnología.",0,0,0,10
44,Los niños deben educarse con valores religiosos o tradicionales..,0,0,-5,-10
45,Las tradiciones tienen valor en sí mismas.,0,0,0,10
46,La religión debiera tener un rol en el gobierno.,0,0,-10,-10
47,Las iglesias debieran pagar impuestos de la misma forma que otras instituciones pagan impuestos.,5,0,0,10
48,El cambio climático es actualmente una de las mayores amenazas a nuestro estilo de vida.,0,0,0,10
49,Es importante que trabajemos como un mundo unido para combatir el cambio climático.,0,10,0,10
50,Es importante que trabajemos como un mundo unido para combatir el cambio climático.,0,0,0,-10
51,Es importante que mantengamos las tradiciones de nuestro pasado.,0,0,0,-10
52,"Es importante que pensemos a largo plazo, más allá de nuestra expectativa de vida.",0,0,0,10
53,La razón es más importante que mantener nuestra cultura.,0,0,0,10
54,El uso de drogas debiera legalizarse o despenalizarse.,0,0,10,2
55,El matrimonio del mismo sexo debiera legalizarse.,0,0,10,10
56,Ninguna cultura es superior a otra.,0,10,5,10
57,Ninguna cultura es superior a otra..,0,0,-5,-10
58,"Sí aceptamos a los inmigrantes, es importante que se asimilen dentro de nuestra cultura.",0,0,-5,-10
59,El aborto debieraprohibirse en la mayoría o en todos los casos.,0,0,-10,-10
60,El porte de armas debe prohibirse para quienes no tengan una razón válida.,0,0,-10,0
61,Apoyo la atención médica de un solo sostenedor.,10,0,0,0
62,La prostitución debiera ser ilegal.,0,0,-10,-10
63,Mantener los valores familiares es esencial.,0,0,0,-10
64,Buscar el progreso a toda costa es peligroso.,0,0,0,-10
65,"La modificación genética es un bien, incluso en humanos.",0,0,0,10
66,Deberíamos abrir nuestras fronteras a la inmigración..,0,10,10,0
67,Los gobiernos deberían preocuparse de los extranjeros tanto como se preocupan de sus propios ciudadanos.,0,10,0,0
68,Todos - independiente de factores como cultura o sexualidad- debieran ser tratados con igualdad.,10,10,10,10
69,Es importante que expandamos los objetivos de mi grupo por sobre todas las demás.,-10,-10,-10,-10
