,Tipo greedy,Cambio promedio,N,M,L,Dataset,MinMax,Exp,Politica,Genero,Colaborativo,Valor objetivo,Tiempo,Solucion
0,normal,0,4,2,2,2,False,1,0.9952279424640494,2.0,0.5964941239200413,3.5917220663840905,0.0026106834411621,"[[[0.3197386524877265, 0.4826058741516149, 0.5274997699683445, 0.0055676400944407, 0.0, 0.2884997937797012, 0.5960921649216397, 0.3565401575035986, 0.943265937909289], [0.4594204003832678, 0.4620904345436035, 0.6513131603518526, 0.0308807151489427, 0.0, 0.5204748066148162, 0.060849073463636, 0.3975769988634619, 0.7559478578046677]], [[0.3738615919288782, 0.2701949262843045, 0.0077309172689005, 0.0877526352720493, 0.0, 0.3868471118090456, 0.1578329307525168, 0.4260253642829066, 0.6831522182287564], [0.3126332065606429, 0.6764027189326507, 0.2643287273330163, 0.9378327282779428, 1.0, 0.3641380527990527, 0.1921991531989794, 0.3183821794677215, 0.6504554624179175]]]"
1,normal,0,6,2,3,2,False,1,1.3202460205791156,2.01,1.0761645498090906,4.406410570388205,0.0042736530303955,"[[[0.3197386524877265, 0.4826058741516149, 0.5274997699683445, 0.0055676400944407, 0.0, 0.2884997937797012, 0.5960921649216397, 0.3565401575035986, 0.943265937909289], [0.3126332065606429, 0.6764027189326507, 0.2643287273330163, 0.9378327282779428, 1.0, 0.3641380527990527, 0.1921991531989794, 0.3183821794677215, 0.6504554624179175]], [[0.3738615919288782, 0.2701949262843045, 0.0077309172689005, 0.0877526352720493, 0.0, 0.3868471118090456, 0.1578329307525168, 0.4260253642829066, 0.6831522182287564], [0.221826101585767, 0.4180160384077279, 0.0105959516123799, 0.7185631943397217, 1.0, 0.1253592824074517, 0.2782501748689815, 0.3202253319103997, 0.928842557901714]], [[0.4594204003832678, 0.4620904345436035, 0.6513131603518526, 0.0308807151489427, 0.0, 0.5204748066148162, 0.060849073463636, 0.3975769988634619, 0.7559478578046677], [0.4168528320432463, 0.6368123890007461, 0.707730713366816, 0.6237058693704773, 1.0, 0.2471791616289119, 0.3522425114153544, 0.3815365229490317, 0.728243486871323]]]"
2,normal,0,6,3,2,2,False,1,0.5160506995582917,1.34,0.8148944426644034,2.670945142222694,0.0035409927368164,"[[[0.3197386524877265, 0.4826058741516149, 0.5274997699683445, 0.0055676400944407, 0.0, 0.2884997937797012, 0.5960921649216397, 0.3565401575035986, 0.943265937909289], [0.4594204003832678, 0.4620904345436035, 0.6513131603518526, 0.0308807151489427, 0.0, 0.5204748066148162, 0.060849073463636, 0.3975769988634619, 0.7559478578046677], [0.3126332065606429, 0.6764027189326507, 0.2643287273330163, 0.9378327282779428, 1.0, 0.3641380527990527, 0.1921991531989794, 0.3183821794677215, 0.6504554624179175]], [[0.3738615919288782, 0.2701949262843045, 0.0077309172689005, 0.0877526352720493, 0.0, 0.3868471118090456, 0.1578329307525168, 0.4260253642829066, 0.6831522182287564], [0.221826101585767, 0.4180160384077279, 0.0105959516123799, 0.7185631943397217, 1.0, 0.1253592824074517, 0.2782501748689815, 0.3202253319103997, 0.928842557901714], [0.4168528320432463, 0.6368123890007461, 0.707730713366816, 0.6237058693704773, 1.0, 0.2471791616289119, 0.3522425114153544, 0.3815365229490317, 0.728243486871323]]]"
3,normal,0,8,2,4,2,False,1,1.2208192895400949,2.68,1.2422938884942387,5.1431131780343335,0.006810188293457,"[[[0.3197386524877265, 0.4826058741516149, 0.5274997699683445, 0.0055676400944407, 0.0, 0.2884997937797012, 0.5960921649216397, 0.3565401575035986, 0.943265937909289], [0.221826101585767, 0.4180160384077279, 0.0105959516123799, 0.7185631943397217, 1.0, 0.1253592824074517, 0.2782501748689815, 0.3202253319103997, 0.928842557901714]], [[0.3738615919288782, 0.2701949262843045, 0.0077309172689005, 0.0877526352720493, 0.0, 0.3868471118090456, 0.1578329307525168, 0.4260253642829066, 0.6831522182287564], [0.4168528320432463, 0.6368123890007461, 0.707730713366816, 0.6237058693704773, 1.0, 0.2471791616289119, 0.3522425114153544, 0.3815365229490317, 0.728243486871323]], [[0.4594204003832678, 0.4620904345436035, 0.6513131603518526, 0.0308807151489427, 0.0, 0.5204748066148162, 0.060849073463636, 0.3975769988634619, 0.7559478578046677], [0.3302185355650322, 0.5392934301753429, 0.0832693144741449, 0.0029125060250751, 1.0, 0.172049815532207, 0.2827029927861827, 0.5062779594474494, 0.3106596344202926]], [[0.3126332065606429, 0.6764027189326507, 0.2643287273330163, 0.9378327282779428, 1.0, 0.3641380527990527, 0.1921991531989794, 0.3183821794677215, 0.6504554624179175], [0.4480087129264999, 0.5230774671933243, 0.583336482594707, 0.4220841206788641, 0.5, 0.2182923414315217, 0.0848899852789283, 0.4602074153149389, 0.6404942427828524]]]"
4,normal,0,8,4,2,2,False,1,0.2382798732259346,1.0,0.8889436789723134,2.127223552198248,0.0046241283416748,"[[[0.3197386524877265, 0.4826058741516149, 0.5274997699683445, 0.0055676400944407, 0.0, 0.2884997937797012, 0.5960921649216397, 0.3565401575035986, 0.943265937909289], [0.4594204003832678, 0.4620904345436035, 0.6513131603518526, 0.0308807151489427, 0.0, 0.5204748066148162, 0.060849073463636, 0.3975769988634619, 0.7559478578046677], [0.3126332065606429, 0.6764027189326507, 0.2643287273330163, 0.9378327282779428, 1.0, 0.3641380527990527, 0.1921991531989794, 0.3183821794677215, 0.6504554624179175], [0.221826101585767, 0.4180160384077279, 0.0105959516123799, 0.7185631943397217, 1.0, 0.1253592824074517, 0.2782501748689815, 0.3202253319103997, 0.928842557901714]], [[0.3738615919288782, 0.2701949262843045, 0.0077309172689005, 0.0877526352720493, 0.0, 0.3868471118090456, 0.1578329307525168, 0.4260253642829066, 0.6831522182287564], [0.4168528320432463, 0.6368123890007461, 0.707730713366816, 0.6237058693704773, 1.0, 0.2471791616289119, 0.3522425114153544, 0.3815365229490317, 0.728243486871323], [0.3302185355650322, 0.5392934301753429, 0.0832693144741449, 0.0029125060250751, 1.0, 0.172049815532207, 0.2827029927861827, 0.5062779594474494, 0.3106596344202926], [0.4480087129264999, 0.5230774671933243, 0.583336482594707, 0.4220841206788641, 0.5, 0.2182923414315217, 0.0848899852789283, 0.4602074153149389, 0.6404942427828524]]]"
5,normal,0,10,2,5,2,False,1,3.059912408426888,4.01,1.801467536305372,8.87137994473226,0.0091233253479003,"[[[0.3197386524877265, 0.4826058741516149, 0.5274997699683445, 0.0055676400944407, 0.0, 0.2884997937797012, 0.5960921649216397, 0.3565401575035986, 0.943265937909289], [0.4168528320432463, 0.6368123890007461, 0.707730713366816, 0.6237058693704773, 1.0, 0.2471791616289119, 0.3522425114153544, 0.3815365229490317, 0.728243486871323]], [[0.3738615919288782, 0.2701949262843045, 0.0077309172689005, 0.0877526352720493, 0.0, 0.3868471118090456, 0.1578329307525168, 0.4260253642829066, 0.6831522182287564], [0.3302185355650322, 0.5392934301753429, 0.0832693144741449, 0.0029125060250751, 1.0, 0.172049815532207, 0.2827029927861827, 0.5062779594474494, 0.3106596344202926]], [[0.4594204003832678, 0.4620904345436035, 0.6513131603518526, 0.0308807151489427, 0.0, 0.5204748066148162, 0.060849073463636, 0.3975769988634619, 0.7559478578046677], [0.4480087129264999, 0.5230774671933243, 0.583336482594707, 0.4220841206788641, 0.5, 0.2182923414315217, 0.0848899852789283, 0.4602074153149389, 0.6404942427828524]], [[0.3126332065606429, 0.6764027189326507, 0.2643287273330163, 0.9378327282779428, 1.0, 0.3641380527990527, 0.1921991531989794, 0.3183821794677215, 0.6504554624179175], [0.3430133793540735, 0.7353228879636984, 0.5340785326790181, 0.7886830541906583, 1.0, 0.7120679791124718, 0.1512857847914999, 0.5043254657067507, 0.4018876111012104]], [[0.221826101585767, 0.4180160384077279, 0.0105959516123799, 0.7185631943397217, 1.0, 0.1253592824074517, 0.2782501748689815, 0.3202253319103997, 0.928842557901714], [0.3346632604265603, 0.5021254972959174, 0.8874497330031512, 0.993012424444634, 0.5, 0.5329971853272858, 0.49102802894222, 0.6236945816875551, 0.9626291435697304]]]"
6,normal,0,10,5,2,2,False,1,0.0585832564993761,0.94,1.0968234170028237,2.0954066735022,0.0052306652069091,"[[[0.3197386524877265, 0.4826058741516149, 0.5274997699683445, 0.0055676400944407, 0.0, 0.2884997937797012, 0.5960921649216397, 0.3565401575035986, 0.943265937909289], [0.4594204003832678, 0.4620904345436035, 0.6513131603518526, 0.0308807151489427, 0.0, 0.5204748066148162, 0.060849073463636, 0.3975769988634619, 0.7559478578046677], [0.3126332065606429, 0.6764027189326507, 0.2643287273330163, 0.9378327282779428, 1.0, 0.3641380527990527, 0.1921991531989794, 0.3183821794677215, 0.6504554624179175], [0.221826101585767, 0.4180160384077279, 0.0105959516123799, 0.7185631943397217, 1.0, 0.1253592824074517, 0.2782501748689815, 0.3202253319103997, 0.928842557901714], [0.4168528320432463, 0.6368123890007461, 0.707730713366816, 0.6237058693704773, 1.0, 0.2471791616289119, 0.3522425114153544, 0.3815365229490317, 0.728243486871323]], [[0.3738615919288782, 0.2701949262843045, 0.0077309172689005, 0.0877526352720493, 0.0, 0.3868471118090456, 0.1578329307525168, 0.4260253642829066, 0.6831522182287564], [0.3302185355650322, 0.5392934301753429, 0.0832693144741449, 0.0029125060250751, 1.0, 0.172049815532207, 0.2827029927861827, 0.5062779594474494, 0.3106596344202926], [0.4480087129264999, 0.5230774671933243, 0.583336482594707, 0.4220841206788641, 0.5, 0.2182923414315217, 0.0848899852789283, 0.4602074153149389, 0.6404942427828524], [0.3430133793540735, 0.7353228879636984, 0.5340785326790181, 0.7886830541906583, 1.0, 0.7120679791124718, 0.1512857847914999, 0.5043254657067507, 0.4018876111012104], [0.3346632604265603, 0.5021254972959174, 0.8874497330031512, 0.993012424444634, 0.5, 0.5329971853272858, 0.49102802894222, 0.6236945816875551, 0.9626291435697304]]]"
7,normal,0,12,4,3,2,False,1,1.0122095969377038,1.4900000000000002,1.4204699647639027,3.922679561701607,0.0073082447052001,"[[[0.3197386524877265, 0.4826058741516149, 0.5274997699683445, 0.0055676400944407, 0.0, 0.2884997937797012, 0.5960921649216397, 0.3565401575035986, 0.943265937909289], [0.3126332065606429, 0.6764027189326507, 0.2643287273330163, 0.9378327282779428, 1.0, 0.3641380527990527, 0.1921991531989794, 0.3183821794677215, 0.6504554624179175], [0.221826101585767, 0.4180160384077279, 0.0105959516123799, 0.7185631943397217, 1.0, 0.1253592824074517, 0.2782501748689815, 0.3202253319103997, 0.928842557901714], [0.4168528320432463, 0.6368123890007461, 0.707730713366816, 0.6237058693704773, 1.0, 0.2471791616289119, 0.3522425114153544, 0.3815365229490317, 0.728243486871323]], [[0.3738615919288782, 0.2701949262843045, 0.0077309172689005, 0.0877526352720493, 0.0, 0.3868471118090456, 0.1578329307525168, 0.4260253642829066, 0.6831522182287564], [0.3302185355650322, 0.5392934301753429, 0.0832693144741449, 0.0029125060250751, 1.0, 0.172049815532207, 0.2827029927861827, 0.5062779594474494, 0.3106596344202926], [0.4480087129264999, 0.5230774671933243, 0.583336482594707, 0.4220841206788641, 0.5, 0.2182923414315217, 0.0848899852789283, 0.4602074153149389, 0.6404942427828524], [0.3430133793540735, 0.7353228879636984, 0.5340785326790181, 0.7886830541906583, 1.0, 0.7120679791124718, 0.1512857847914999, 0.5043254657067507, 0.4018876111012104]], [[0.4594204003832678, 0.4620904345436035, 0.6513131603518526, 0.0308807151489427, 0.0, 0.5204748066148162, 0.060849073463636, 0.3975769988634619, 0.7559478578046677], [0.3346632604265603, 0.5021254972959174, 0.8874497330031512, 0.993012424444634, 0.5, 0.5329971853272858, 0.49102802894222, 0.6236945816875551, 0.9626291435697304], [0.4526702234343454, 0.671560174912409, 0.7539085119780488, 0.9853880100213012, 0.0, 0.1699473751604489, 0.3368091207248426, 0.3741598969851996, 0.5924892486158477], [0.5465757417465544, 0.6807305393475976, 0.6088019438922173, 0.0817228602203278, 1.0, 0.3195557791431167, 0.1379227826327317, 0.5036836620308477, 0.8764491845230603]]]"
8,normal,0,12,3,4,2,False,1,1.6544456000464391,1.3599999999999997,1.665407506585622,4.679853106632061,0.0086185932159423,"[[[0.3197386524877265, 0.4826058741516149, 0.5274997699683445, 0.0055676400944407, 0.0, 0.2884997937797012, 0.5960921649216397, 0.3565401575035986, 0.943265937909289], [0.221826101585767, 0.4180160384077279, 0.0105959516123799, 0.7185631943397217, 1.0, 0.1253592824074517, 0.2782501748689815, 0.3202253319103997, 0.928842557901714], [0.4168528320432463, 0.6368123890007461, 0.707730713366816, 0.6237058693704773, 1.0, 0.2471791616289119, 0.3522425114153544, 0.3815365229490317, 0.728243486871323]], [[0.3738615919288782, 0.2701949262843045, 0.0077309172689005, 0.0877526352720493, 0.0, 0.3868471118090456, 0.1578329307525168, 0.4260253642829066, 0.6831522182287564], [0.3302185355650322, 0.5392934301753429, 0.0832693144741449, 0.0029125060250751, 1.0, 0.172049815532207, 0.2827029927861827, 0.5062779594474494, 0.3106596344202926], [0.4480087129264999, 0.5230774671933243, 0.583336482594707, 0.4220841206788641, 0.5, 0.2182923414315217, 0.0848899852789283, 0.4602074153149389, 0.6404942427828524]], [[0.4594204003832678, 0.4620904345436035, 0.6513131603518526, 0.0308807151489427, 0.0, 0.5204748066148162, 0.060849073463636, 0.3975769988634619, 0.7559478578046677], [0.3430133793540735, 0.7353228879636984, 0.5340785326790181, 0.7886830541906583, 1.0, 0.7120679791124718, 0.1512857847914999, 0.5043254657067507, 0.4018876111012104], [0.3346632604265603, 0.5021254972959174, 0.8874497330031512, 0.993012424444634, 0.5, 0.5329971853272858, 0.49102802894222, 0.6236945816875551, 0.9626291435697304]], [[0.3126332065606429, 0.6764027189326507, 0.2643287273330163, 0.9378327282779428, 1.0, 0.3641380527990527, 0.1921991531989794, 0.3183821794677215, 0.6504554624179175], [0.4526702234343454, 0.671560174912409, 0.7539085119780488, 0.9853880100213012, 0.0, 0.1699473751604489, 0.3368091207248426, 0.3741598969851996, 0.5924892486158477], [0.5465757417465544, 0.6807305393475976, 0.6088019438922173, 0.0817228602203278, 1.0, 0.3195557791431167, 0.1379227826327317, 0.5036836620308477, 0.8764491845230603]]]"
9,normal,0,60,5,12,2,False,1,2.990683134204314,6.42,6.564142890955682,15.974826025159995,0.0968775749206543,"[[[0.3197386524877265, 0.4826058741516149, 0.5274997699683445, 0.0055676400944407, 0.0, 0.2884997937797012, 0.5960921649216397, 0.3565401575035986, 0.943265937909289], [0.5014668503736056, 0.4203990912226296, 0.2550955832864507, 0.4917968331969012, 1.0, 0.3890746660039499, 0.5589266379429918, 0.505262348353981, 0.8653260903745977], [0.379848756979513, 0.4732296020925498, 0.3638763102365532, 0.6262916086591875, 1.0, 0.1694984401610495, 0.3172312435657762, 0.6409015443387938, 0.6700629487671768], [0.5216250155855561, 0.5956085198990636, 0.3374348922006234, 0.681791908546763, 0.0, 0.3171236369816347, 0.0955081617571949, 0.4290721302080649, 0.5978298235552502], [0.4315559723334531, 0.7175181496670027, 0.6961526696754786, 0.0716356939509798, 0.0, 0.3421930257262533, 0.0511727108016396, 0.492807844117674, 0.8378008210722904]], [[0.3738615919288782, 0.2701949262843045, 0.0077309172689005, 0.0877526352720493, 0.0, 0.3868471118090456, 0.1578329307525168, 0.4260253642829066, 0.6831522182287564], [0.5983055823519465, 0.3803576368501608, 0.9062163232211776, 0.93382160097024, 0.5, 0.1814556813904782, 0.5317882670936007, 0.3741202294933297, 0.7734443799277729], [0.4246343172461765, 0.6011465796987249, 0.5066463827881452, 0.1565154342270543, 0.0, 0.1713947128604419, 0.2312940421268456, 0.436461526115855, 0.676181081687394], [0.5608883109484907, 0.3694537803199604, 0.1756942308729338, 0.5189339988891036, 1.0, 0.5142284489123976, 0.2100082545094957, 0.443063736181903, 0.7718965052792484], [0.3240956052082412, 0.7585276250311684, 0.9902593018539372, 0.0003705854296512, 1.0, 0.0381825117317505, 0.2943531998744427, 0.5070418090076309, 0.9408927443171088]], [[0.4594204003832678, 0.4620904345436035, 0.6513131603518526, 0.0308807151489427, 0.0, 0.5204748066148162, 0.060849073463636, 0.3975769988634619, 0.7559478578046677], [0.4591107669957386, 0.4628889394968562, 0.5992387444039919, 0.0428689429323236, 1.0, 0.1150778021499228, 0.0508816108931923, 0.6439841337704, 0.7862178198184088], [0.2664659879317662, 0.7062551474210065, 0.9091561704156468, 0.3176079578254414, 1.0, 0.1703462520881218, 0.1989776990080451, 0.3697807680629514, 0.5451614925746097], [0.5936261004449909, 0.613389077211498, 0.9254390882220728, 0.6203792089746301, 0.5, 0.5127135195394272, 0.1346477925377709, 0.4565004084706922, 0.8515706145986859], [0.2949557066418735, 0.623288202578214, 0.9759994737143656, 0.0486144334035233, 1.0, 0.2372777174717965, 0.6950919696281813, 0.5113116503347347, 0.4964871419662777]], [[0.3126332065606429, 0.6764027189326507, 0.2643287273330163, 0.9378327282779428, 1.0, 0.3641380527990527, 0.1921991531989794, 0.3183821794677215, 0.6504554624179175], [0.4258554241004522, 0.4389605993351823, 0.0986353897660169, 0.8749464791688674, 0.0, 0.50253084899701, 0.1554666641121029, 0.5701412774698329, 0.2066648392382835], [0.6547433065464743, 0.4497593684841452, 0.8417072727197853, 0.0650313630885276, 0.0, 0.1918366404776068, 0.0735697221609812, 0.6055913264186281, 0.2456432384455387], [0.3070226137740626, 0.4973907313521617, 0.1667223543267685, 0.1010612714881654, 1.0, 0.1512281201868275, 0.5914836066629501, 0.5227067292071713, 0.8647418999598036], [0.2711389193052821, 0.4717470657486046, 0.9203001363625772, 0.1873891077255355, 0.0, 0.2366173103486533, 0.3960987781274584, 0.4873116983836257, 0.4182341876710783]], [[0.221826101585767, 0.4180160384077279, 0.0105959516123799, 0.7185631943397217, 1.0, 0.1253592824074517, 0.2782501748689815, 0.3202253319103997, 0.928842557901714], [0.6325554652570813, 0.5330575073573773, 0.2454372975359159, 0.9574786780720388, 1.0, 0.4526481438009757, 0.4113784857162705, 0.4490461580251857, 0.6910168483255263], [0.409791339035037, 0.3734908940074744, 0.5470141356284893, 0.0326066746414904, 1.0, 0.5833869142640306, 0.2547841763673534, 0.5354472845769732, 0.7367242858252342], [0.283407561586795, 0.5555383058497607, 0.4237293694978232, 0.6617147901260539, 0.0, 0.0539253413471687, 0.3323976968361467, 0.4814988004297658, 0.5759875844132022], [0.6586135131587244, 0.609186429212801, 0.5682021780833877, 0.3714702133819037, 1.0, 0.2916348174203386, 0.1759953648582634, 0.2970641308563435, 0.7451681643611956]], [[0.4168528320432463, 0.6368123890007461, 0.707730713366816, 0.6237058693704773, 1.0, 0.2471791616289119, 0.3522425114153544, 0.3815365229490317, 0.728243486871323], [0.4156680782781216, 0.4705156683020843, 0.0942883592668369, 0.119205077846589, 0.5, 0.3445177961293034, 0.2208836656151062, 0.4356309904413252, 0.3975470762101311], [0.6746615007531825, 0.6302191217780442, 0.2403229825873582, 0.5456070405892259, 1.0, 0.4974537335444157, 0.2354470805942976, 0.4037866133831513, 0.558909267692868], [0.4190263873198672, 0.5916677417518644, 0.691921641449267, 0.6069230038964355, 0.0, 0.227148928800901, 0.5381080652664284, 0.6165325686177017, 0.5790368572580007], [0.5787713715162587, 0.3899788061014626, 0.0167244762848137, 0.1796627206920889, 0.0, 0.2684848930009516, 0.6655652859375927, 0.6180640490087123, 0.6512882340068998]], [[0.3302185355650322, 0.5392934301753429, 0.0832693144741449, 0.0029125060250751, 1.0, 0.172049815532207, 0.2827029927861827, 0.5062779594474494, 0.3106596344202926], [0.4843842163462969, 0.6403767588842548, 0.9582570618194284, 0.8905640048127466, 0.0, 0.5599979771703507, 0.4077589921467117, 0.4202410280687147, 0.8274517733433188], [0.6230248151932986, 0.6419925657133868, 0.3092512991964928, 0.3040811229219011, 0.0, 0.1686011609133239, 0.227244476746398, 0.5860810173097639, 0.5740190952482535], [0.6193999935432591, 0.4784950920356255, 0.7545871931016737, 0.2194545396892641, 1.0, 0.118953884709743, 0.2379517747789606, 0.1879798185608858, 0.9936012588085472], [0.5394688525111656, 0.7116295063960683, 0.9999885997461868, 0.0749604596625073, 0.5, 0.2386368364049903, 0.1271849515279987, 0.3970074142751011, 0.3342807515903171]], [[0.4480087129264999, 0.5230774671933243, 0.583336482594707, 0.4220841206788641, 0.5, 0.2182923414315217, 0.0848899852789283, 0.4602074153149389, 0.6404942427828524], [0.4240499731003492, 0.5510787278711207, 0.9301583828498674, 0.2065712419470103, 1.0, 0.0712419454216457, 0.1414896856464552, 0.2846007120284322, 0.4689692324819873], [0.4823607025749117, 0.4406078529495453, 0.3787827779560224, 0.6157255128029118, 1.0, 0.1968496935467796, 0.2831066642291076, 0.5209187864750452, 0.914706468190536], [0.6449163177301929, 0.5527245484026624, 0.2486374181002481, 0.6124673637744393, 1.0, 0.2479814896353837, 0.4600663449595476, 0.4605693866428482, 0.7383212102642567], [0.3911026601162721, 0.3835146999250564, 0.246692756942813, 0.0567500653382532, 1.0, 0.3583003348714442, 0.2887877908129809, 0.4691046041964388, 0.4698643380370724]], [[0.3430133793540735, 0.7353228879636984, 0.5340785326790181, 0.7886830541906583, 1.0, 0.7120679791124718, 0.1512857847914999, 0.5043254657067507, 0.4018876111012104], [0.6328304771728785, 0.4899512279809859, 0.2455259816140391, 0.0603994713940226, 0.5, 0.7935420258519934, 0.3803617941721319, 0.5009849356474547, 0.3481620920708552], [0.4112120708058088, 0.4954318192044471, 0.0982397937445325, 0.5952445415060238, 1.0, 0.0461309503923739, 0.4444517135061396, 0.522803913915664, 0.2941993832058139], [0.4970507409576989, 0.5265278577755514, 0.9942707600376566, 0.99589719876927, 1.0, 0.4158520928555765, 0.0486430170266922, 0.5337664269404511, 0.9511668622746834], [0.3299622714855509, 0.4843715595210302, 0.990817825385694, 0.5681176326308123, 0.5, 0.1689341921836835, 0.3615325535360535, 0.433307938853197, 0.7987144504977666]], [[0.3346632604265603, 0.5021254972959174, 0.8874497330031512, 0.993012424444634, 0.5, 0.5329971853272858, 0.49102802894222, 0.6236945816875551, 0.9626291435697304], [0.391824914076928, 0.5711371671718044, 0.3130598949030901, 0.0369802519463661, 0.0, 0.3707389304930368, 0.2033623850137531, 0.3076177537516583, 0.6526450754193939], [0.2541641584947144, 0.4263567545190505, 0.0041449154295203, 0.3313160461748936, 0.5, 0.5421547019228814, 0.0833698138878239, 0.4882789507079157, 0.8666716307231128], [0.5635684681350773, 0.4811704988130949, 0.9736074680156876, 0.0342492318137829, 0.0, 0.2454122177859863, 0.3156565066975752, 0.5171239035493567, 0.8665699458057947], [0.6315493854433949, 0.5173380636695376, 0.9554279168344784, 0.3087394221441096, 0.0, 0.5478761197424835, 0.2546450643482547, 0.4770375613965922, 0.7050139130746121]], [[0.4526702234343454, 0.671560174912409, 0.7539085119780488, 0.9853880100213012, 0.0, 0.1699473751604489, 0.3368091207248426, 0.3741598969851996, 0.5924892486158477], [0.3897001580434245, 0.8081980729501745, 0.2927520472104424, 0.4533316128125912, 1.0, 0.2958812175712158, 0.4666500825107557, 0.3822534738747124, 0.7354036578318749], [0.4669284539164202, 0.3175914724120747, 0.8472604496265985, 0.7016424004812046, 1.0, 0.2824936956482712, 0.2467389086494523, 0.4960811876115006, 0.4437507310578485], [0.4133329616812455, 0.5661809381276004, 0.8789342571521894, 0.4106738987487498, 0.0, 0.2884243265482746, 0.3292712294957814, 0.3204580058653793, 0.793971251609944], [0.4441848595659785, 0.6336763137829625, 0.0577387238406318, 0.2271244947891324, 0.5, 0.2351866797337661, 0.0686728284935507, 0.3477983759142649, 0.943496198733179]], [[0.5465757417465544, 0.6807305393475976, 0.6088019438922173, 0.0817228602203278, 1.0, 0.3195557791431167, 0.1379227826327317, 0.5036836620308477, 0.8764491845230603], [0.6979779980224924, 0.5290877413904099, 0.033891737551663, 0.3863245822685107, 1.0, 0.1877911654979948, 0.5396259823288213, 0.4995477210435091, 0.5422471029222975], [0.4345797886163945, 0.6381580268435008, 0.1814935872413121, 0.4041417249753499, 0.5, 0.6715015920119672, 0.4920017835100342, 0.5337321438623508, 0.6994420468118699], [0.2341061648720659, 0.4804353333155455, 0.9375492739177848, 0.7667704702460658, 0.0, 0.2248536524658633, 0.1957752086861739, 0.3672342470388777, 0.5885766198790915], [0.4719188932288587, 0.4191032184392694, 0.7359021996691453, 0.7597220985160813, 0.0, 0.1174114633463682, 0.3997977190709099, 0.5990694621823731, 0.4786817412908046]]]"
